================ Training Loss (Tue Apr  2 12:30:15 2024) ================
(epoch: 1, iters: 100, time: 0.122, data: 0.190) D_A: 0.286 G_A: 0.541 cycle_A: 1.601 idt_A: 1.000 D_B: 0.240 G_B: 0.359 cycle_B: 2.191 idt_B: 0.741 
(epoch: 1, iters: 200, time: 0.122, data: 0.001) D_A: 0.241 G_A: 0.511 cycle_A: 0.498 idt_A: 0.576 D_B: 0.200 G_B: 0.533 cycle_B: 1.277 idt_B: 0.188 
(epoch: 1, iters: 300, time: 0.123, data: 0.001) D_A: 0.126 G_A: 0.415 cycle_A: 1.284 idt_A: 0.783 D_B: 0.281 G_B: 0.497 cycle_B: 1.670 idt_B: 0.602 
(epoch: 1, iters: 400, time: 0.294, data: 0.001) D_A: 0.199 G_A: 0.568 cycle_A: 0.969 idt_A: 0.895 D_B: 0.203 G_B: 0.334 cycle_B: 2.663 idt_B: 0.438 
(epoch: 2, iters: 100, time: 0.124, data: 0.165) D_A: 0.315 G_A: 0.546 cycle_A: 0.700 idt_A: 0.530 D_B: 0.221 G_B: 0.806 cycle_B: 1.246 idt_B: 0.275 
(epoch: 2, iters: 200, time: 0.125, data: 0.001) D_A: 0.278 G_A: 0.751 cycle_A: 0.602 idt_A: 1.232 D_B: 0.197 G_B: 0.566 cycle_B: 2.670 idt_B: 0.314 
(epoch: 2, iters: 300, time: 0.126, data: 0.001) D_A: 0.373 G_A: 0.475 cycle_A: 0.495 idt_A: 2.285 D_B: 0.143 G_B: 0.042 cycle_B: 6.510 idt_B: 0.249 
(epoch: 2, iters: 400, time: 0.275, data: 0.001) D_A: 0.402 G_A: 0.535 cycle_A: 0.543 idt_A: 0.421 D_B: 0.247 G_B: 0.464 cycle_B: 0.981 idt_B: 0.224 
(epoch: 3, iters: 100, time: 0.126, data: 0.191) D_A: 0.145 G_A: 0.483 cycle_A: 0.692 idt_A: 0.592 D_B: 0.222 G_B: 0.300 cycle_B: 1.340 idt_B: 0.368 
(epoch: 3, iters: 200, time: 0.126, data: 0.001) D_A: 0.186 G_A: 0.225 cycle_A: 0.616 idt_A: 0.480 D_B: 0.212 G_B: 0.496 cycle_B: 1.039 idt_B: 0.288 
(epoch: 3, iters: 300, time: 0.127, data: 0.001) D_A: 0.264 G_A: 0.469 cycle_A: 0.542 idt_A: 0.490 D_B: 0.127 G_B: 0.625 cycle_B: 1.086 idt_B: 0.168 
(epoch: 3, iters: 400, time: 0.319, data: 0.001) D_A: 0.297 G_A: 0.299 cycle_A: 0.607 idt_A: 0.433 D_B: 0.168 G_B: 0.646 cycle_B: 0.993 idt_B: 0.245 
(epoch: 4, iters: 100, time: 0.127, data: 0.128) D_A: 0.247 G_A: 0.951 cycle_A: 0.675 idt_A: 0.445 D_B: 0.334 G_B: 0.542 cycle_B: 1.073 idt_B: 0.291 
(epoch: 4, iters: 200, time: 0.126, data: 0.001) D_A: 0.131 G_A: 0.536 cycle_A: 0.703 idt_A: 0.444 D_B: 0.179 G_B: 0.962 cycle_B: 1.039 idt_B: 0.302 
(epoch: 4, iters: 300, time: 0.126, data: 0.001) D_A: 0.263 G_A: 0.514 cycle_A: 0.487 idt_A: 0.460 D_B: 0.172 G_B: 0.307 cycle_B: 1.075 idt_B: 0.220 
(epoch: 4, iters: 400, time: 0.298, data: 0.001) D_A: 0.200 G_A: 0.442 cycle_A: 0.583 idt_A: 0.528 D_B: 0.080 G_B: 0.928 cycle_B: 1.280 idt_B: 0.258 
(epoch: 5, iters: 100, time: 0.127, data: 0.162) D_A: 0.266 G_A: 0.565 cycle_A: 0.631 idt_A: 0.405 D_B: 0.132 G_B: 0.266 cycle_B: 1.113 idt_B: 0.369 
(epoch: 5, iters: 200, time: 0.127, data: 0.001) D_A: 0.109 G_A: 0.416 cycle_A: 0.405 idt_A: 0.315 D_B: 0.216 G_B: 0.397 cycle_B: 0.730 idt_B: 0.189 
(epoch: 5, iters: 300, time: 0.127, data: 0.001) D_A: 0.174 G_A: 0.153 cycle_A: 1.148 idt_A: 0.502 D_B: 0.164 G_B: 0.489 cycle_B: 1.160 idt_B: 0.609 
(epoch: 5, iters: 400, time: 0.292, data: 0.001) D_A: 0.145 G_A: 0.561 cycle_A: 0.757 idt_A: 0.405 D_B: 0.215 G_B: 0.502 cycle_B: 0.981 idt_B: 0.310 
(epoch: 6, iters: 100, time: 0.126, data: 0.187) D_A: 0.577 G_A: 0.835 cycle_A: 0.900 idt_A: 0.462 D_B: 0.233 G_B: 0.560 cycle_B: 1.453 idt_B: 0.327 
(epoch: 6, iters: 200, time: 0.127, data: 0.001) D_A: 0.214 G_A: 0.077 cycle_A: 0.644 idt_A: 0.428 D_B: 0.263 G_B: 0.262 cycle_B: 1.074 idt_B: 0.303 
(epoch: 6, iters: 300, time: 0.127, data: 0.001) D_A: 0.080 G_A: 0.421 cycle_A: 0.501 idt_A: 0.528 D_B: 0.122 G_B: 0.742 cycle_B: 1.198 idt_B: 0.217 
(epoch: 6, iters: 400, time: 0.303, data: 0.001) D_A: 0.152 G_A: 0.561 cycle_A: 0.564 idt_A: 0.451 D_B: 0.287 G_B: 0.211 cycle_B: 1.014 idt_B: 0.157 
(epoch: 7, iters: 100, time: 0.127, data: 0.194) D_A: 0.160 G_A: 0.276 cycle_A: 0.697 idt_A: 0.415 D_B: 0.193 G_B: 0.418 cycle_B: 0.970 idt_B: 0.231 
(epoch: 7, iters: 200, time: 0.127, data: 0.001) D_A: 0.161 G_A: 0.620 cycle_A: 0.691 idt_A: 0.414 D_B: 0.139 G_B: 0.578 cycle_B: 0.997 idt_B: 0.302 
(epoch: 7, iters: 300, time: 0.127, data: 0.001) D_A: 0.201 G_A: 0.369 cycle_A: 0.502 idt_A: 0.399 D_B: 0.231 G_B: 0.481 cycle_B: 0.991 idt_B: 0.185 
(epoch: 7, iters: 400, time: 0.290, data: 0.001) D_A: 0.160 G_A: 0.437 cycle_A: 0.889 idt_A: 0.399 D_B: 0.120 G_B: 0.478 cycle_B: 1.013 idt_B: 0.392 
